id.orig_p,id.resp_p,proto,conn_state,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,id.orig_h,id.resp_h
55580,0,tcp,S0,-0.020592872,S,0.9471025,51.78155,0.09333022,-0.40628815,192.168.100.103,63.82.96.90
40979,5726,udp,S0,0.005830884,D,1.0111959,35.035545,0.036827087,4.4843974,192.168.100.103,95.2.208.47
43143,37894,udp,S0,0.012031026,D,1.1062962,42.423435,-0.06530118,-0.5869236,192.168.100.103,173.58.184.213
54769,1797,tcp,S0,-0.020550922,S,0.9513182,54.32864,0.09791547,3.0423408,192.168.100.103,66.122.90.101
54649,857,tcp,S0,-0.02515275,S,0.93423456,52.6214,0.09730819,1.6289454,192.168.100.103,59.107.104.105
43632,10026,tcp,S0,0.06606738,ShA,2.88195,169.14291,-0.019162148,-0.5398655,192.168.100.103,121.70.205.137
41633,11477,udp,S0,-0.0015127622,D,1.0694125,36.977814,0.01909931,-0.04659176,192.168.100.103,113.20.199.89
54835,231,tcp,S0,-0.02213449,S,0.9384957,52.38194,0.098746754,1.3082142,192.168.100.103,59.99.102.101
40419,10700,tcp,S0,0.04998526,ShA,2.954174,177.8897,0.09959425,0.04448986,192.168.100.103,99.93.193.150
41426,8902,udp,S0,0.0003283415,D,1.0756917,37.952312,0.023519367,0.769186,192.168.100.103,105.13.205.71
38442,11084,tcp,S0,0.020657703,ShA,2.9612985,180.31802,0.19552532,-1.7850237,192.168.100.103,50.103.191.155
41265,6798,udp,S0,0.0041062078,D,1.0532885,37.21441,0.029221125,2.8285646,192.168.100.103,99.7.207.57
56604,3557,tcp,S0,-0.01893416,S,0.9319974,53.461,0.15102302,8.350002,192.168.100.103,60.140.46.86
43128,33840,udp,S0,0.005373493,D,1.0834361,40.01554,-0.05602224,-1.4217052,192.168.100.103,161.61.182.190
55511,2238,tcp,S0,-0.018540435,S,0.95403063,54.6307,0.119055405,5.7767396,192.168.100.103,67.129.62.88
55782,2404,tcp,S0,-0.019243974,S,0.9561418,54.844,0.12664804,6.2309675,192.168.100.103,65.132.58.88
42355,37814,udp,S0,0.019363929,D,1.1132787,39.42029,-0.056474626,-4.7874603,192.168.100.103,160.71.194.197
55033,1963,tcp,S0,-0.017274644,S,0.95324504,54.427143,0.106340095,4.7647,192.168.100.103,69.125.75.93
56236,2854,tcp,S0,-0.02081399,S,0.95073324,54.659348,0.14021161,7.201794,192.168.100.103,63.137.51.87
55575,0,tcp,S0,-0.02077081,S,0.9408026,51.694572,0.09158644,-0.40402222,192.168.100.103,62.85.96.91
54598,497,tcp,S0,-0.024181698,S,0.93700624,52.567894,0.09983999,1.5992241,192.168.100.103,58.103.104.103
54906,228,tcp,S0,-0.022005409,S,0.93647766,52.295532,0.0974032,1.1940641,192.168.100.103,59.99.102.101
37622,10559,tcp,S0,0.014035463,ShA,2.985138,182.57132,0.24234632,-0.93946075,192.168.100.103,37.106.193.162
40759,5538,udp,S0,0.006573148,D,1.0080795,35.04505,0.038471766,5.087835,192.168.100.103,95.0.210.46
42689,38487,udp,S0,0.01719959,D,1.1396472,41.466534,-0.048613667,-4.216649,192.168.100.103,164.68.190.202
42861,28610,udp,S0,-9.84706e-05,D,1.0830038,39.212257,-0.037885413,-2.1773977,192.168.100.103,146.53.187.160
40372,10871,tcp,S0,0.049634285,ShA,2.9431689,177.42554,0.10116358,0.02024746,192.168.100.103,97.94.193.153
42956,39668,udp,S0,0.012491446,D,1.1179391,41.921555,-0.05065845,-3.1452646,192.168.100.103,171.64.186.211
54655,1487,tcp,S0,-0.023900144,S,0.9462684,53.648743,0.09624942,2.1985354,192.168.100.103,63.116.100.104
55420,2165,tcp,S0,-0.018699177,S,0.951679,54.52176,0.11598255,5.5661893,192.168.100.103,67.128.64.89
54724,1737,tcp,S0,-0.020112421,S,0.95425487,54.34658,0.09838179,3.094862,192.168.100.103,67.121.91.100
41085,33884,udp,S0,0.032965206,D^,1.2832808,53.36932,-0.058198348,-4.4400606,192.168.100.103,144.82.199.177
55419,0,tcp,S0,-0.020666737,S,0.9452846,52.18171,0.09623425,0.13994217,192.168.100.103,61.88.98.93
54800,1790,tcp,S0,-0.01797418,S,0.9548257,54.467598,0.10146405,3.8609486,192.168.100.103,68.123.83.98
43136,39035,udp,S0,0.013648391,D,1.1565967,43.18365,-0.036077738,-3.2674713,192.168.100.103,168.67.184.205
54798,1814,tcp,S0,-0.0196165,S,0.95160383,54.38134,0.098997496,3.336308,192.168.100.103,66.122.87.100
43240,35908,udp,S0,0.008358177,D,1.0889112,40.762276,-0.05832003,-1.0948935,192.168.100.103,168.62.181.200
42932,37867,udp,S0,0.017306019,D,1.1551442,42.13876,-0.038721904,-4.532917,192.168.100.103,163.71.188.197
42858,38881,udp,S0,0.014851257,D,1.1443338,42.11742,-0.04320115,-3.5449934,192.168.100.103,167.67.187.205
54849,339,tcp,S0,-0.022432044,S,0.93438005,52.254707,0.09750605,1.3043747,192.168.100.103,59.100.102.102
40933,5528,udp,S0,0.006345749,D,1.003114,34.618313,0.038496956,4.7786193,192.168.100.103,95.2.208.45
55324,2082,tcp,S0,-0.018286467,S,0.9516842,54.472813,0.11341278,5.4107423,192.168.100.103,68.127.66.89
55383,0,tcp,S0,-0.020632233,S,0.94448125,52.285965,0.09680955,0.30645847,192.168.100.103,61.90.99.94
54675,1235,tcp,S0,-0.025052816,S,0.94016486,53.257607,0.09764549,1.9405322,192.168.100.103,61.113.103.106
42114,37431,udp,S0,0.021204192,D,1.1030881,38.76531,-0.055513307,-4.809437,192.168.100.103,158.74.197.194
41572,11509,udp,S0,-0.0011584312,D,1.0680029,36.95022,0.01811409,-0.0014486313,192.168.100.103,113.20.200.90
43087,33616,udp,S0,0.0054224096,D,1.0835923,40.06559,-0.056876853,-1.4049788,192.168.100.103,160.60.183.190
54659,1547,tcp,S0,-0.023201663,S,0.9484252,53.81179,0.0964737,2.3369207,192.168.100.103,64.117.98.103
38523,11133,tcp,S0,0.021209955,ShA,2.9591002,180.09607,0.19063264,-1.9148369,192.168.100.103,51.103.191.154
41463,7691,udp,S0,0.0020862045,D,1.067589,37.66029,0.028001785,1.7272477,192.168.100.103,101.10.205.62
41460,10419,tcp,S0,0.05882439,ShA,2.9024143,172.76855,0.058023065,0.75913334,192.168.100.103,111.83.198.143
54659,1184,tcp,S0,-0.02496406,S,0.9405714,53.22422,0.09793404,1.9503651,192.168.100.103,61.112.103.105
54794,1803,tcp,S0,-0.019252092,S,0.9524582,54.400166,0.09942916,3.4313908,192.168.100.103,67.122.87.100
42398,27224,udp,S0,-0.00031056255,D,1.069567,38.64784,-0.037274167,-2.0436993,192.168.100.103,143.47.196.155
54863,1891,tcp,S0,-0.019241504,S,0.95042807,54.40751,0.101211116,3.7575517,192.168.100.103,67.124.84.99
42652,37672,udp,S0,0.018766008,D,1.1325352,40.580666,-0.04871148,-4.7718277,192.168.100.103,161.72.191.196
43175,39052,udp,S0,0.012402225,D,1.1228167,43.04099,-0.057171628,-1.9569006,192.168.100.103,175.60.181.214
36639,10077,tcp,S0,0.0067269504,ShA,3.0012722,184.31215,0.3002805,0.47933483,192.168.100.103,20.110.195.173
54725,636,tcp,S0,-0.024080362,S,0.9279171,52.169304,0.09626372,1.4551058,192.168.100.103,58.104.103.104
41853,14249,udp,S0,-0.004843207,D,1.042104,34.695793,0.011408046,-1.2935104,192.168.100.103,118.27.195.102
56260,2926,tcp,S0,-0.020201147,S,0.95068216,54.555878,0.14217177,7.418827,192.168.100.103,63.137.51.87
41310,7308,udp,S0,0.0032935068,D,1.0651577,37.806496,0.027181812,2.2338033,192.168.100.103,101.9.207.61
42623,28644,udp,S0,0.0011762269,D,1.0802078,39.51787,-0.043607444,-1.907054,192.168.100.103,147.50.192.163
42705,9880,tcp,S0,0.06720904,ShA,2.9004307,171.14398,-0.002206713,0.45453644,192.168.100.103,118.74.201.139
43161,38662,udp,S0,0.013518989,D,1.1080077,42.19743,-0.061238676,-1.1294403,192.168.100.103,175.59.181.214
43311,35626,udp,S0,0.0073037855,D,1.0882802,40.43597,-0.054694697,-1.1748896,192.168.100.103,166.64.179.197
55314,0,tcp,S0,-0.020550564,S,0.948848,52.459267,0.09955371,0.503212,192.168.100.103,61.90.100.95
43248,39034,udp,S0,0.01243474,D,1.1259385,43.14211,-0.0544381,-1.8915844,192.168.100.103,175.60.180.213
43058,37648,udp,S0,0.016945284,D^,1.1685307,42.927715,-0.031950623,-4.3678484,192.168.100.103,163.71.186.195
54553,599,tcp,S0,-0.02480723,S,0.94165623,52.864388,0.1007148,1.703865,192.168.100.103,59.105.105.104
38774,11146,tcp,S0,0.022943586,ShA,2.9646509,180.41068,0.17590483,-2.4666758,192.168.100.103,57.102.190.151
42390,9909,tcp,S0,0.066369705,ShA,2.9015393,171.60733,0.008304939,0.64506817,192.168.100.103,116.76.200.140
43453,36845,udp,S0,0.010408264,D,1.1075116,42.003994,-0.055905282,-0.74529743,192.168.100.103,171.62.179.206
41455,10335,tcp,S0,0.05875563,ShA,2.9074607,173.13153,0.05804225,0.76885796,192.168.100.103,111.83.198.142
36204,10506,tcp,S0,0.0048517585,ShADFadfRR,2.9696307,182.5982,0.3273657,1.9672818,192.168.100.103,9.110.197.184
40511,10853,tcp,S0,0.051044114,ShA,2.9409933,176.86133,0.09792395,0.3488798,192.168.100.103,100.93.194.152
55631,0,tcp,S0,-0.02096808,S,0.93924665,51.580597,0.09029949,-0.54649734,192.168.100.103,62.84.96.90
39048,11183,tcp,S0,0.025406338,ShA,2.9694405,180.71451,0.16219276,-2.7429113,192.168.100.103,64.101.189.150
42312,27610,udp,S0,0.0012907498,D,1.0712328,39.09628,-0.04333523,-1.8467035,192.168.100.103,144.45.198.158
41845,12027,udp,S0,-0.0033903345,D,1.0684366,36.563595,0.019868687,-0.44818115,192.168.100.103,114.22.196.90
55995,2499,tcp,S0,-0.019367624,S,0.9593312,54.97678,0.13411815,6.6894655,192.168.100.103,65.134.55.86
42229,36294,udp,S0,0.024873186,D,1.1348565,40.699116,-0.042500913,-4.1063337,192.168.100.103,156.76.197.188
43203,39203,udp,S0,0.013394363,D^,1.1549435,43.488815,-0.037615493,-3.1594448,192.168.100.103,169.66.183.206
41138,10766,tcp,S0,0.05683825,ShA,2.9039927,173.35426,0.07405293,0.86549187,192.168.100.103,107.87.197.149
54766,336,tcp,S0,-0.022783112,S,0.9370623,52.409008,0.098950095,1.3978729,192.168.100.103,59.100.103.102
42965,37839,udp,S0,0.017097142,D^,1.158185,42.32033,-0.03679034,-4.502528,192.168.100.103,163.71.187.197
54983,1992,tcp,S0,-0.0180525,S,0.95084906,54.40766,0.10415639,4.4443693,192.168.100.103,68.125.78.96
40839,5732,udp,S0,0.006022238,D,1.0153885,35.403687,0.0367056,4.7323785,192.168.100.103,96.1.210.48
55665,2338,tcp,S0,-0.018759497,S,0.956176,54.80124,0.1232958,6.0406504,192.168.100.103,66.131.60.88
43241,36206,udp,S0,0.0092095435,D,1.0911907,41.061527,-0.059688196,-1.0016088,192.168.100.103,169.61.182.203
43238,39392,udp,S0,0.012058947,D,1.1276073,42.652744,-0.04471475,-2.8747005,192.168.100.103,172.64.182.211
41814,36026,udp,S0,0.027073171,D,1.1467998,42.46515,-0.04506533,-4.403987,192.168.100.103,152.79.198.183
41959,22726,udp,S0,-0.0015329905,D,1.0639814,38.1125,-0.01742059,-2.0827713,192.168.100.103,134.43.200.138
41250,35033,udp,S0,0.030422397,D^,1.2142705,48.062855,-0.05310519,-4.567464,192.168.100.103,147.81.199.179
39886,11053,tcp,S0,0.039924927,ShA,2.9531054,179.01784,0.118953556,-1.4742985,192.168.100.103,85.98.191.152
43143,39118,udp,S0,0.012266193,D,1.1235142,43.068836,-0.056713715,-2.0973158,192.168.100.103,175.60.182.214
55187,0,tcp,S0,-0.021093123,S,0.9449047,52.553123,0.09772432,0.68859196,192.168.100.103,60.93.101.96
42352,10002,tcp,S0,0.06599871,ShA,2.892728,171.05496,0.008743614,0.6622019,192.168.100.103,116.77.201.142
40384,10488,tcp,S0,0.04943917,ShA,2.9698582,178.8749,0.09968038,-0.16282463,192.168.100.103,99.93.194.147
42683,38016,udp,S0,0.018423434,D,1.136185,41.02644,-0.04951577,-4.601201,192.168.100.103,162.70.190.198
54957,1990,tcp,S0,-0.018171117,S,0.95043284,54.395554,0.103514306,4.3431125,192.168.100.103,68.124.79.97
41368,7182,udp,S0,0.0033493666,D,1.0635419,37.660156,0.028402038,2.3353481,192.168.100.103,100.8.206.59
44557,12972,tcp,S0,0.061080825,S,2.625639,150.05688,-0.02952817,-2.6175728,192.168.100.103,129.72.205.141
54566,639,tcp,S0,-0.024866126,S,0.9406252,52.833122,0.10022397,1.6944504,192.168.100.103,59.105.105.104
43172,36000,udp,S0,0.009063315,D,1.0892352,41.012115,-0.0614409,-1.0028944,192.168.100.103,168.61.183.202
41241,10563,tcp,S0,0.05723553,ShA,2.9097738,173.57089,0.06967108,0.8479233,192.168.100.103,109.86.197.145
55001,2008,tcp,S0,-0.018208336,S,0.95034194,54.404,0.10433042,4.460769,192.168.100.103,68.125.78.96
54780,1810,tcp,S0,-0.020562325,S,0.9507672,54.32937,0.09789008,3.052392,192.168.100.103,66.122.90.101
54613,662,tcp,S0,-0.024734307,S,0.936224,52.611694,0.0987484,1.6188593,192.168.100.103,59.105.104.104
43250,37137,udp,S0,0.011484709,D,1.1047114,42.21738,-0.064057425,-0.7003355,192.168.100.103,172.59.183.210
42758,39020,udp,S0,0.015131142,D,1.1358477,41.62047,-0.04784459,-3.5769653,192.168.100.103,166.66.188.205
44390,17000,tcp,S0,0.05552013,HaDdR,2.3035247,126.94905,-0.03599249,-3.8052378,192.168.100.103,136.74.202.148
42888,39388,udp,S0,0.014386021,D,1.1346695,42.151604,-0.048834756,-3.0828362,192.168.100.103,169.65.187.208
43299,38658,udp,S0,0.013155431,D,1.1089013,42.060493,-0.056367204,-1.0209713,192.168.100.103,175.60.178.212
42598,39167,udp,S0,0.015859809,D,1.1236432,40.82837,-0.05505675,-3.7528372,192.168.100.103,166.66.190.206
37726,10779,tcp,S0,0.015682891,ShA,2.9694219,181.32631,0.23870048,-0.5599098,192.168.100.103,37.105.193.163
56595,3527,tcp,S0,-0.01971376,S,0.931806,53.545708,0.15004878,8.229515,192.168.100.103,60.140.46.87
54778,1773,tcp,S0,-0.018732458,S,0.95400786,54.425934,0.09976343,3.5154667,192.168.100.103,67.122.86.99
43631,21486,tcp,S0,0.049025152,HaDdAFTf,1.9909723,104.506294,-0.039664775,-4.8228827,192.168.100.103,139.77.201.153
41506,35983,udp,S0,0.028097205,D,1.1690047,44.43626,-0.04778707,-4.543482,192.168.100.103,150.80.199.183
56252,2905,tcp,S0,-0.020339504,S,0.9507854,54.584686,0.14165595,7.3622165,192.168.100.103,63.137.51.87
55421,2164,tcp,S0,-0.018592656,S,0.95207393,54.526226,0.1161565,5.5834837,192.168.100.103,67.128.64.89
41854,11823,udp,S0,-0.0032315962,D,1.0707194,36.737938,0.020779535,-0.3746071,192.168.100.103,113.22.197.89
41938,20755,udp,S0,-0.0029966608,D,1.071976,38.382618,-0.005857542,-1.8491907,192.168.100.103,132.42.199.132
41791,4762,udp,S0,0.0036901664,D,0.90138227,29.399055,0.051106036,4.982035,192.168.100.103,92.5.199.37
54685,1710,tcp,S0,-0.021065585,S,0.9544543,54.267853,0.09760715,2.8006792,192.168.100.103,66.120.93.101
42666,39460,udp,S0,0.014921781,D,1.1196038,40.92559,-0.056047395,-3.2804565,192.168.100.103,168.65.190.209
43194,10030,tcp,S0,0.06675281,ShA,2.8820024,169.48288,-0.0141672045,0.037753105,192.168.100.103,120.72.203.139
38772,11104,tcp,S0,0.022773862,ShA,2.968013,180.66931,0.17545047,-2.589882,192.168.100.103,57.102.190.150
34631,10834,tcp,S0,-0.00798969,ShADFadfRR,2.9825776,186.03648,0.4080048,3.6462302,192.168.100.103,-12.115.202.201
37996,10844,tcp,S0,0.017341226,ShA,2.9705868,181.27203,0.22179455,-1.161231,192.168.100.103,42.104.192.159
42395,27530,udp,S0,0.00038908422,D,1.0718393,38.94113,-0.040427998,-1.968256,192.168.100.103,144.46.197.157
54627,1541,tcp,S0,-0.02207001,S,0.952519,53.98416,0.097148344,2.5444279,192.168.100.103,65.117.96.101
39874,10828,tcp,S0,0.040404685,ShA,2.9656043,179.79749,0.11799471,-1.5097694,192.168.100.103,86.97.191.150
54706,1733,tcp,S0,-0.020964686,S,0.9535666,54.29205,0.09765391,2.8611612,192.168.100.103,66.121.93.101
42371,9886,tcp,S0,0.06628656,ShA,2.9048252,171.85788,0.009719282,0.65548134,192.168.100.103,116.76.200.140
54816,1808,tcp,S0,-0.017879069,S,0.954693,54.47632,0.10198486,3.9563088,192.168.100.103,68.123.83.97
39480,11398,tcp,S0,0.031102158,ShA,2.952479,179.44571,0.14046957,-2.5992098,192.168.100.103,74.101.189.152
57179,4689,tcp,S0,-0.019047365,S,0.89502865,51.71357,0.16468026,9.845229,192.168.100.103,55.143.38.86
54967,1959,tcp,S0,-0.01760548,S,0.9523153,54.42385,0.104363054,4.497271,192.168.100.103,68.125.78.95
42667,39712,udp,S0,0.013868079,D,1.1135532,41.244717,-0.058543444,-3.1823559,192.168.100.103,170.64.190.211
42841,39709,udp,S0,0.013001218,D,1.1177443,41.798244,-0.05423729,-3.2356262,192.168.100.103,170.64.188.211
54973,36,tcp,S0,-0.02159768,S,0.9409744,52.457226,0.0976301,1.0056419,192.168.100.103,59.96.101.100
41996,22335,udp,S0,-0.0024298728,D,1.0627537,37.846252,-0.012476206,-2.154439,192.168.100.103,133.44.199.135
54553,624,tcp,S0,-0.024999052,S,0.94200724,52.908047,0.10110979,1.7426271,192.168.100.103,59.105.105.104
54643,1406,tcp,S0,-0.024126105,S,0.9453756,53.547783,0.09656313,2.1401582,192.168.100.103,62.115.101.104
42899,39690,udp,S0,0.01255564,D,1.1157988,41.832584,-0.05310881,-3.174924,192.168.100.103,171.64.186.212
56012,2508,tcp,S0,-0.019320045,S,0.9599281,54.995033,0.13482104,6.737899,192.168.100.103,65.134.54.86
57521,5472,tcp,S0,-0.018733393,ShA,0.88088334,51.49646,0.17590918,11.101399,192.168.100.103,53.144.32.85
54644,1617,tcp,S0,-0.021434646,S,0.9540838,54.145508,0.09743269,2.6784806,192.168.100.103,66.119.95.101
42017,14662,udp,S0,-0.005691955,D,1.0451726,34.780872,0.012692288,-1.5313253,192.168.100.103,118.28.193.102
43425,37545,udp,S0,0.010871232,D,1.1120894,42.231907,-0.05358742,-0.55465126,192.168.100.103,172.62.179.208
38301,10702,tcp,S0,0.018113792,ShA,2.989735,182.55981,0.19941816,-2.5186434,192.168.100.103,50.104.191.152
43046,32137,udp,S0,0.0039710626,D,1.0823257,39.622463,-0.05148053,-1.816205,192.168.100.103,156.58.183.182
34223,10939,tcp,S0,-0.011925846,ShADFadfRR,2.9982185,187.77856,0.4286645,3.7949185,192.168.100.103,-16.117.202.203
57350,5052,tcp,S0,-0.019259185,S,0.88469565,51.31404,0.16890219,10.3399725,192.168.100.103,54.143.35.86
42868,31170,udp,S0,0.0040750317,D,1.082418,39.864704,-0.05286634,-1.7206707,192.168.100.103,154.54.187.179
41941,17476,udp,S0,-0.0031579696,D,1.0610398,36.67697,0.006263122,-1.5340538,192.168.100.103,126.37.194.117
42796,39716,udp,S0,0.012601793,D,1.1116691,41.707123,-0.05802168,-3.2360554,192.168.100.103,171.63.188.212
55106,0,tcp,S0,-0.021220323,S,0.94638556,52.63189,0.09877574,0.8293543,192.168.100.103,60.93.101.97
54626,857,tcp,S0,-0.02552018,S,0.93690646,52.792076,0.09910309,1.7412658,192.168.100.103,59.108.105.105
54683,358,tcp,S0,-0.023247473,S,0.93866426,52.5282,0.10004573,1.4915419,192.168.100.103,59.101.104.102
42450,10008,tcp,S0,0.06639715,ShA,2.8891068,170.67615,0.0041160733,0.58540535,192.168.100.103,117.76.201.142
34748,10781,tcp,S0,-0.0069722235,ShADFadfRR,2.9799685,185.65883,0.40216854,3.5509615,192.168.100.103,-10.115.201.200
53784,0,tcp,S0,-0.017383285,R,0.97628105,48.862392,0.07569791,-1.6859398,192.168.100.103,74.59.115.65
56223,2853,tcp,S0,-0.020117301,S,0.9524343,54.645897,0.14101712,7.3017993,192.168.100.103,63.136.51.87
40380,10913,tcp,S0,0.04965602,ShA,2.938912,177.16339,0.1008039,0.027914047,192.168.100.103,97.94.193.154
55050,2002,tcp,S0,-0.017911177,S,0.9513159,54.410892,0.10589318,4.668884,192.168.100.103,68.125.75.94
56149,0,tcp,S0,-0.022162393,S,0.9364618,50.448284,0.08053822,-1.5725946,192.168.100.103,65.76.90.84
43047,39496,udp,S0,0.012230352,D,1.11994,42.26109,-0.05126828,-3.0489464,192.168.100.103,172.64.184.212
55414,2161,tcp,S0,-0.01872227,S,0.9515158,54.517097,0.11575415,5.5493774,192.168.100.103,68.128.64.89
41825,20858,udp,S0,-0.0025078617,D,1.0692892,38.38131,-0.008863166,-1.8000135,192.168.100.103,132.41.200.133
42535,37841,udp,S0,0.01894395,D,1.1250706,40.197292,-0.05346161,-4.727998,192.168.100.103,161.71.192.197
40624,5278,udp,S0,0.0074557746,Ar,0.9998107,34.718636,0.040483527,5.639955,192.168.100.103,95.-1.211.45
32851,11933,tcp,S0,-0.021878466,ShADFadfRR,3.0124686,190.81204,0.5188757,6.453093,192.168.100.103,-37.121.207.219
43112,38531,udp,S0,0.012607161,D,1.0967019,41.68596,-0.06303573,-0.950614,192.168.100.103,175.59.182.213
55921,2461,tcp,S0,-0.019234441,S,0.9586105,54.932693,0.13171056,6.54473,192.168.100.103,65.133.56.87
43456,39095,udp,S0,0.012325723,D^,1.138187,43.54677,-0.043880478,-1.8871956,192.168.100.103,174.61.177.211
40587,10742,tcp,S0,0.05156646,ShA,2.943604,176.83304,0.09388611,0.32055092,192.168.100.103,101.92.194.150
54744,1759,tcp,S0,-0.020053133,S,0.95336354,54.352036,0.0984076,3.1326833,192.168.100.103,66.121.90.100
43134,38667,udp,S0,0.013464317,D,1.1055892,42.097015,-0.062164873,-1.1272173,192.168.100.103,175.59.181.214
38941,11284,tcp,S0,0.02485571,ShA,2.9581056,179.86743,0.1694565,-2.2693844,192.168.100.103,60.102.190.152
